companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
AGNC Investment Corp. Common Stock,AGNC,1/30/2026,2/10/2026,1/30/2026,0.12,1.44,1/08/2026
Alliant Energy Corporation Common Stock,LNT,1/30/2026,2/17/2026,1/30/2026,0.535,2.14,1/12/2026
Angel Oak High Yield Opportunities ETF,AOHY,1/30/2026,2/02/2026,1/30/2026,0.0503733,0.60448,1/29/2026
Angel Oak Income ETF,CARY,1/30/2026,2/02/2026,1/30/2026,0.068462,0.821544,1/29/2026
Angel Oak Mortgage-Backed Securities ETF,MBS,1/30/2026,2/02/2026,1/30/2026,0.0333527,0.400232,1/29/2026
Angel Oak Total Return ETF,TRBF,1/30/2026,2/02/2026,1/30/2026,0.1741255,2.089506,1/29/2026
Angel Oak UltraShort Income ETF,UYLD,1/30/2026,2/02/2026,1/30/2026,0.1689318,2.027182,1/29/2026
"CareCloud, Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock",CCLDO,1/30/2026,2/17/2026,1/31/2026,0.36458,4.37496,1/15/2026
"Casey's General Stores, Inc. Common Stock",CASY,1/30/2026,2/13/2026,2/01/2026,0.57,2.28,12/04/2025
Concentrix Corporation Common Stock,CNXC,1/30/2026,2/10/2026,1/30/2026,0.36,1.44,1/13/2026
Costco Wholesale Corporation Common Stock,COST,1/30/2026,2/13/2026,1/30/2026,1.3,5.2,1/15/2026
Defiance Nasdaq 100 LightningSpread Income ETF,QLDY,1/30/2026,2/02/2026,1/30/2026,0.1813,4.7138,1/29/2026
Eaton Vance High Income Municipal ETF,EVYM,1/30/2026,2/05/2026,1/30/2026,0.201954,2.423448,1/29/2026
Eaton Vance Short Duration Income ETF,EVSD,1/30/2026,2/05/2026,1/30/2026,0.195365,2.34438,1/29/2026
First Merchants Corporation Depository Shares,FRMEP,1/30/2026,2/16/2026,1/30/2026,0.4688,1.8752,1/12/2026
First Trust Enhanced Short Maturity ETF,FTSM,1/30/2026,2/03/2026,1/30/2026,0.205,2.46,1/29/2026
GraniteShares YieldBOOST AMD ETF,AMYY,1/30/2026,2/03/2026,1/30/2026,0.39125,20.345,1/29/2026
GraniteShares YieldBoost AMZN ETF,AZYY,1/30/2026,2/03/2026,1/30/2026,0.18865,9.8098,1/29/2026
GraniteShares YieldBOOST BABA ETF,BBYY,1/30/2026,2/03/2026,1/30/2026,0.36602,19.03304,1/29/2026
GraniteShares YieldBOOST Bitcoin ETF,XBTY,1/30/2026,2/03/2026,1/30/2026,0.19433,10.10516,1/29/2026
GraniteShares YieldBOOST COIN ETF,COYY,1/30/2026,2/03/2026,1/30/2026,0.1771,9.2092,1/29/2026
GraniteShares YieldBOOST Gold Miners ETF,NUGY,1/30/2026,2/03/2026,1/30/2026,0.46752,24.31104,1/29/2026
GraniteShares YieldBoost HIMS ETF,HMYY,1/30/2026,2/03/2026,1/30/2026,0.38001,19.76052,1/29/2026
GraniteShares YieldBOOST HOOD ETF,HOYY,1/30/2026,2/03/2026,1/30/2026,0.30214,15.71128,1/29/2026
GraniteShares YieldBOOST IONQ ETF,IOYY,1/30/2026,2/03/2026,1/30/2026,0.4559,23.7068,1/29/2026
GraniteShares YieldBOOST MARA ETF,MAAY,1/30/2026,2/03/2026,1/30/2026,0.36112,18.77824,1/29/2026
GraniteShares YieldBOOST META ETF,FBYY,1/30/2026,2/03/2026,1/30/2026,0.17369,9.03188,1/29/2026
GraniteShares YieldBOOST MSTR ETF,MTYY,1/30/2026,2/03/2026,1/30/2026,0.20428,10.62256,1/29/2026
GraniteShares YieldBOOST NVDA ETF,NVYY,1/30/2026,2/03/2026,1/30/2026,0.33209,17.26868,1/29/2026
GraniteShares YieldBOOST PLTR ETF,PLYY,1/30/2026,2/03/2026,1/30/2026,0.30206,15.70712,1/29/2026
GraniteShares YieldBoost QBTS ETF,QBY,1/30/2026,2/03/2026,1/30/2026,0.40475,21.047,1/29/2026
GraniteShares YieldBOOST QQQ ETF,TQQY,1/30/2026,2/03/2026,1/30/2026,0.1499,7.7948,1/29/2026
GraniteShares YieldBoost RGTI ETF,RGYY,1/30/2026,2/03/2026,1/30/2026,0.45042,23.42184,1/29/2026
GraniteShares YieldBoost RIOT ETF,RTYY,1/30/2026,2/03/2026,1/30/2026,0.53582,27.86264,1/29/2026
GraniteShares YieldBOOST Semiconductor ETF,SEMY,1/30/2026,2/03/2026,1/30/2026,0.56712,29.49024,1/29/2026
GraniteShares YieldBOOST SMCI ETF,SMYY,1/30/2026,2/03/2026,1/30/2026,0.33393,17.36436,1/29/2026
GraniteShares YieldBOOST SPY ETF,YSPY,1/30/2026,2/03/2026,1/30/2026,0.16906,8.79112,1/29/2026
GraniteShares YieldBOOST TSLA ETF,TSYY,1/30/2026,2/03/2026,1/30/2026,0.13081,6.80212,1/29/2026
Hartford Dynamic Bond ETF,DYNB,1/30/2026,2/03/2026,1/30/2026,0.129481,1.553772,1/29/2026
"Lifetime Brands, Inc. Common Stock",LCUT,1/30/2026,2/13/2026,1/30/2026,0.0425,0.17,11/04/2025
"Old Second Bancorp, Inc. Common Stock",OSBC,1/30/2026,2/09/2026,1/30/2026,0.07,0.28,1/20/2026
Pacer Metaurus Nasdaq 100 Dividend Multiplier 600 ETF,QSIX,1/30/2026,2/02/2026,1/30/2026,0.0755,0.906,1/29/2026
"Plains All American Pipeline, L.P. Common Units representing Limited Partner Interests",PAA,1/30/2026,2/13/2026,1/30/2026,0.4175,1.67,1/05/2026
"Plains GP Holdings, L.P. Class A Units representing Limited Partner Interests",PAGP,1/30/2026,2/13/2026,1/30/2026,0.4175,1.67,1/05/2026
RBB Bancorp Common Stock,RBB,1/30/2026,2/13/2026,1/30/2026,0.16,0.64,1/23/2026
Scholastic Corporation Common Stock,SCHL,1/30/2026,3/16/2026,1/30/2026,0.2,0.8,12/17/2025
"Strive, Inc. Variable Rate Series A Perpetual Preferred Stock",SATA,1/30/2026,2/15/2026,2/01/2026,1.0208,12.2496,1/14/2026
Texas Instruments Incorporated Common Stock,TXN,1/30/2026,2/10/2026,1/30/2026,1.42,5.68,1/31/2026
"Union Bankshares, Inc. Common Stock",UNB,1/30/2026,2/05/2026,1/31/2026,0.36,1.44,1/21/2026
